ID,Q17,Do you use apps? (based on all app related questions),Q4,"For those who answered Q4, do they know which app store they are using?",Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_7,Q8_8,Q8_9,Q8_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_11,Q11_12,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q15_23,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29.1,Q29.2,Q29.3,Q29.4,Q29.5,Q29.6,Q29.7,Q29.8,Q29.9,Q29.10,Q29.11,Q29.12,Q29.13,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10
10,31,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,1,11,9,5,1,7,26,2,4,8,8,,,,,,,,12,,,,,,5,5,4,5,5,5,4,5,4,4
11,31,1,3,1,3,1,,,1,1,,,,,1,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,31,3,2,1,11,1,6,20,2,2,17,1,7,,,,,,,,,,,,,5,3,5,4,4,6,7,7,6,6
12,35,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,4,7,9,2,4,7,22,2,1,3,8,,,,,,,,8,,,,,,3,6,2,3,4,3,4,3,3,3
13,41,1,9,1,3,1,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,2,41,3,11,9,5,7,5,23,2,1,17,8,,,,,,,,9,,,,,,6,3,5,4,5,3,5,5,5,3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,25,1,3,1,3,1,,1,1,,,,,,,1,,1,,,,,,1,,1,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,1,25,2,11,9,5,1,6,19,2,4,24,8,,,,,,,,3,,,,,,5,5,3,7,4,6,6,5,3,4
17,28,1,1,1,2,2,,1,,,1,,1,,,,,1,1,1,,1,,,,1,,,,1,,1,1,,,,,1,,,1,1,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,,1,,,1,1,1,1,1,,,1,,,,,,,,,,,1,,,,,,,1,,1,,,1,28,1,16,16,1,1,5,18,2,1,3,13,,,,,,,,,,,,,1,4,3,2,3,7,4,5,7,3,4
18,31,1,3,1,8,3,,1,,,,1,,,,1,1,1,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,1,,,1,,1,1,,1,31,3,6,16,1,1,5,16,2,1,3,13,,,,,,,,,,,,,2,4,4,5,3,5,6,5,3,5,5
19,27,1,1,1,9,2,,1,,,1,,,,,1,,1,,,,1,,,,,1,,1,1,,,,,,,1,,1,,1,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,,,,1,,,1,1,,1,1,1,,,1,1,,1,,1,,1,,,1,1,,1,,2,27,1,16,16,11,7,6,18,2,4,8,13,,,,,,,,,,,,,2,4,6,2,7,7,3,4,7,1,4
